10
20 19
0 14 70
1 19 39
2 10 30
3 6 97
4 11 40
5 11 1
6 13 80
7 16 87
8 14 49
9 15 78
10 18 90
11 14 3
12 15 11
13 15 86
14 16 48
15 17 51
16 18 35
17 19 44
18 19 82
20 38
0 8 47
1 2 59
1 5 45
2 5 40
2 15 63
3 7 93
3 9 13
4 14 73
5 6 67
5 12 76
5 18 83
6 12 88
6 13 41
6 14 66
7 14 12
7 15 82
8 10 50
8 13 94
8 14 22
9 14 91
9 15 91
9 17 3
10 17 34
11 16 44
11 18 2
12 14 49
12 15 99
12 18 94
13 14 63
13 17 59
14 16 96
14 17 49
15 16 8
15 17 57
15 19 84
16 17 34
17 19 53
18 19 51
20 57
0 8 95
0 9 3
0 10 58
0 19 34
1 6 87
1 11 92
1 13 32
1 16 14
1 19 21
2 14 11
2 16 13
3 13 64
3 19 3
4 5 37
4 10 21
4 11 16
4 17 89
4 18 46
4 19 27
5 6 84
5 10 54
5 15 80
5 19 11
6 11 62
6 15 72
7 15 66
7 18 3
8 13 43
8 14 77
8 17 37
8 19 23
9 12 86
9 13 15
10 11 43
10 12 70
10 13 58
10 14 75
11 12 90
11 15 40
11 16 3
12 17 32
12 19 66
13 14 46
13 15 29
13 17 99
14 15 69
14 16 38
14 18 50
15 16 38
15 17 75
15 18 53
15 19 76
16 17 35
16 19 59
17 18 76
17 19 89
18 19 68
20 76
0 2 42
0 6 75
0 7 49
0 14 84
0 18 2
0 19 60
1 3 63
1 6 17
1 7 5
1 18 78
2 4 57
2 5 41
2 14 10
2 17 36
3 6 35
3 7 47
3 10 46
3 11 46
3 15 59
3 17 25
3 18 2
3 19 27
4 10 63
4 11 36
4 13 66
4 16 57
5 6 96
5 7 19
5 10 61
5 11 38
5 12 32
5 19 28
6 7 81
6 8 18
6 10 23
6 18 72
6 19 38
7 12 40
7 15 73
8 10 29
8 11 69
8 12 12
8 13 5
8 17 51
8 18 2
9 13 53
9 14 13
9 15 62
9 18 51
9 19 63
10 11 97
10 17 29
10 18 36
11 12 78
11 13 49
